game_choices,date,leafs,result,record,game_start,time_tv,date_label,venue,home_game,opp
"Toronto vs. Ottawa - Oct 2, 2019",2019-10-02,Toronto,W 5-3,1-0-0,NA,NA,NA,NA,NA,Ottawa Senators
"Toronto vs. Columbus - Oct 4, 2019",2019-10-04,Toronto,W 4-1,2-0-0,NA,NA,NA,NA,NA,Columbus Blue Jackets
"Toronto vs. Montreal - Oct 5, 2019",2019-10-05,Toronto,L 6-5 / SO,2-0-1,NA,NA,NA,NA,NA,Montreal Canadiens
"Toronto vs. St. Louis - Oct 7, 2019",2019-10-07,Toronto,L 3-2,2-1-1,NA,NA,NA,NA,NA,St. Louis Blues
"Toronto vs. Tampa Bay - Oct 10, 2019",2019-10-10,Toronto,L 7-3,2-2-1,NA,NA,NA,NA,NA,Tampa Bay Lightning
"Toronto vs. Detroit - Oct 12, 2019",2019-10-12,Toronto,W 5-2,3-2-1,NA,NA,NA,NA,NA,Detroit Red Wings
"Toronto vs. Minnesota - Oct 15, 2019",2019-10-15,Toronto,W 4-2,4-2-1,NA,NA,NA,NA,NA,Minnesota Wild
"Toronto vs. Washington - Oct 16, 2019",2019-10-16,Toronto,L 4-3,4-3-1,NA,NA,NA,NA,NA,Washington Capitals
"Toronto vs. Boston - Oct 19, 2019",2019-10-19,Toronto,W 4-3 / OT,5-3-1,NA,NA,NA,NA,NA,Boston Bruins
"Toronto vs. Columbus - Oct 21, 2019",2019-10-21,Toronto,L 4-3 / OT,5-3-2,NA,NA,NA,NA,NA,Columbus Blue Jackets
"Toronto vs. Boston - Oct 22, 2019",2019-10-22,Toronto,L 4-2,5-4-2,NA,NA,NA,NA,NA,Boston Bruins
"Toronto vs. San Jose - Oct 25, 2019",2019-10-25,Toronto,W 4-1,6-4-2,NA,NA,NA,NA,NA,San Jose Sharks
"Toronto vs. Montreal - Oct 26, 2019",2019-10-26,Toronto,L 5-2,6-5-2,NA,NA,NA,NA,NA,Montreal Canadiens
"Toronto vs. Washington - Oct 29, 2019",2019-10-29,Toronto,L 4-3 / OT,6-5-3,NA,NA,NA,NA,NA,Washington Capitals
"Toronto vs. Philadelphia - Nov 2, 2019",2019-11-02,Toronto,W 4-3 / SO,7-5-3,NA,NA,NA,NA,NA,Philadelphia Flyers
"Toronto vs. Los Angeles - Nov 5, 2019",2019-11-05,Toronto,NA,NA,2019-11-05T19:30:00Z,19:30:00,"Nov 5, 2019",Scotiabank Arena,TRUE,Los Angeles Kings
"Toronto vs. Vegas - Nov 7, 2019",2019-11-07,Toronto,NA,NA,2019-11-07T19:00:00Z,19:00:00,"Nov 7, 2019",Scotiabank Arena,TRUE,Vegas Golden Knights
"Toronto vs. Philadelphia - Nov 9, 2019",2019-11-09,Toronto,NA,NA,2019-11-09T19:00:00Z,19:00:00,"Nov 9, 2019",Scotiabank Arena,TRUE,Philadelphia Flyers
"Toronto vs. Chicago - Nov 10, 2019",2019-11-10,Toronto,NA,NA,2019-11-10T19:00:00Z,19:00:00,"Nov 10, 2019",United Center,FALSE,Chicago Blackhawks
"Toronto vs. Boston - Nov 15, 2019",2019-11-15,Toronto,NA,NA,2019-11-15T19:00:00Z,19:00:00,"Nov 15, 2019",Scotiabank Arena,TRUE,Boston Bruins
"Toronto vs. Pittsburgh - Nov 16, 2019",2019-11-16,Toronto,NA,NA,2019-11-16T19:00:00Z,19:00:00,"Nov 16, 2019",PPG Paints Arena,FALSE,Pittsburgh Penguins
"Toronto vs. Vegas - Nov 19, 2019",2019-11-19,Toronto,NA,NA,2019-11-19T22:00:00Z,22:00:00,"Nov 19, 2019",T-Mobile Arena,FALSE,Vegas Golden Knights
"Toronto vs. Arizona - Nov 21, 2019",2019-11-21,Toronto,NA,NA,2019-11-21T21:00:00Z,21:00:00,"Nov 21, 2019",Gila River Arena,FALSE,Arizona Coyotes
"Toronto vs. Colorado - Nov 23, 2019",2019-11-23,Toronto,NA,NA,2019-11-23T19:00:00Z,19:00:00,"Nov 23, 2019",Pepsi Center,FALSE,Colorado Avalanche
"Toronto vs. Detroit - Nov 27, 2019",2019-11-27,Toronto,NA,NA,2019-11-27T19:00:00Z,19:00:00,"Nov 27, 2019",Little Caesars Arena,FALSE,Detroit Red Wings
"Toronto vs. Buffalo - Nov 29, 2019",2019-11-29,Toronto,NA,NA,2019-11-29T16:00:00Z,16:00:00,"Nov 29, 2019",KeyBank Center,FALSE,Buffalo Sabres
"Toronto vs. Buffalo - Nov 30, 2019",2019-11-30,Toronto,NA,NA,2019-11-30T19:00:00Z,19:00:00,"Nov 30, 2019",Scotiabank Arena,TRUE,Buffalo Sabres
"Toronto vs. Philadelphia - Dec 3, 2019",2019-12-03,Toronto,NA,NA,2019-12-03T19:00:00Z,19:00:00,"Dec 3, 2019",Wells Fargo Center,FALSE,Philadelphia Flyers
"Toronto vs. Colorado - Dec 4, 2019",2019-12-04,Toronto,NA,NA,2019-12-04T19:00:00Z,19:00:00,"Dec 4, 2019",Scotiabank Arena,TRUE,Colorado Avalanche
"Toronto vs. St. Louis - Dec 7, 2019",2019-12-07,Toronto,NA,NA,2019-12-07T19:00:00Z,19:00:00,"Dec 7, 2019",Enterprise Center,FALSE,St. Louis Blues
