team_name,team_acronym,twitter_account,tweet_keywords,colour_primary,colour_secondary,sport,vip_list,anti_keywords
Green Bay Packers,GB,@Packers,#ThePackIsBack OR #PutCheeseOnEverything OR #GoPackGo OR @packers OR #greenbaypackers OR #packers OR packers,#203731,#FFB612,football,@Packers,
Detroit Lions,DET,@Lions,#OnePride OR @Lions,#0076b6,#B0B7BC,football,@Lions,
Toronto Maple Leafs,TOR,@MapleLeafs,#TMLTalk OR #LeafsForever OR @MapleLeafs OR leafs OR #leafs OR #GoLeafsGo OR #mapleleafs OR #LeafsNation,#203731,#FFFFFF,hockey,"domluszczyszyn, Steve_Dangle, IanGraph, DownGoesBrown, 3rdPeriodSuits, duarteelauraa, rahef_issa, _marlanderthews, LeafFan1917, TheLeafsIMO, TheOakLeafs, TheFlintor, MarkUkLeaf, LeafsMaz20, karlandtheleafs, mirtle, jonassiegel, kristen_shilton, reporterchris, Buds_All_Day, ATFulemin, nine2schenn, draglikepull, TLNdc,  thejustinfisher, HardevLad, jakebeleafs, spu42, account4hockey, briancrd,  team_keefe, Dylan_Morrow, GastiHGuerrero, mostlyleafies, Its_Mr_Clutch, aigemac, JuIia_Caesar, Smasha23, Billy_chilly, junotheleafs, sforys92, MerOutLoud, Leafguy38, SamL_16, marnylandersen, mikewestlakee, ElSeldo, JahidA96, patel_pujan, JaredOfLondon, dad_loop, bobbycappucino, rick_city, TorontoMapleMan, Alex_Scotian, _NickRichard, mrleaffan, Nickbarden, LeafsReplay, OfficerStephen, CoachBombayy, dirtbag_daddi, CMDeathHawk, miniaturedeth, leafermetrics, JillianMcLeod05, TMLGAL, flyontheleaf, Matt_PuckRivals, Casual_Mats, statssundin, Totally_Offside, ryanfancey, Stavros_Greer, RyanDHobart, jpolly22, jxcquelineoh, mo_toews, JSisu13, Nazzzitron, alexbienband, LittleCoding, tmlsolair, flhockeymom, wrightdobbs",
Toronto Raptors,TOR,@Raptors,#Raptors OR #WeTheNorth OR #RTZ OR raptors OR @Raptors,#CE1141,#000000,basketball,"ekoreen, JLew1050, BlakeMurphyODC, william_lou, _emmajbrown, RaptorsHQ, raptorsrepublic, steven_lebron, JayJoubs, RyanJHTurvey, WalderSports, MR_STiXX, kelsea_lately, _NopeName",
Philadelphia 76ers,PHI,@sixers,#Summer76 OR @sixers OR sixers OR 76ers OR #sixers,#006BB6,#ED174C,basketball,sixers,
Boston Bruins,BOS,@NHLbruins,#NHLBruins OR @NHLbruins OR #bruins OR bruins OR #Tuukkatime OR #BruinsNation ,#FFB81C,#000000,hockey,"NHLbruins, cupofchowdah, iancmclaren",
Carolina Hurricanes,CAR,@Canes,#LetsGoCanes OR #TakeWarning OR @canes OR #canes,#CC0000,#000000,hockey,"canes, MSmithCanes, CardiacCane",
Colorado Avalanche,COL,@Avalanche,#GoAvsGo OR @Avalanche OR avs OR #avsfam OR #AvsTwitterPsychic,#6F263D,#236192,hockey,"avalanche, HockeykatKate, SteveStaeger, ryan_s_clark, citchmook, Avalangelist, MileHighHockey, AvsQueen20, theavsabs, morgannaanna, npratt44, Kahuna_2010, Robert99927998, Taylor_Rae_33, blueeyedgrl4, Hockeygrrls, CleverlyLemon, seawardjj5, alainascarano, Emily_Wade, VeSolarz, SoCalAvsFan, justinlosacco, Kahuna_2010, CallieAgnew, avsfam, KarenCherrett4, avrilanche, VermillionJake, kylekeefetv, avsstats, lalagal1991, leslee09, Letsgoavs33, LisaDyan01, tempikate, lvs2rdhrses, AvsAngelsChick, JTMyersNV99, AvsHockeyLover, theperfectdrug2, that_onekid27, AvsSignGirls, tempikate",
Arizona Coyotes,ARZ,@ArizonaCoyotes,@ArizonaCoyotes OR yotes OR #yotes,#8C2633,#E2D6B5,hockey,ArizonaCoyotes,
Dallas Stars,DAL,@DallasStars,"@DallasStars OR #GoStars OR ""Dallas Stars""",#006847,white,hockey,"DallasStars, MikeHeika, dmn_stars, BruceLeVinePuck, seguinsbishop, seanshapiro, omydallasstars, wendymhansen, jeffk_stars, AlleyDalley, whitney_munro, OwenNewkirk, travcurrie, Derek_N_NHL, BrienRea, BrentSeveryn, Josh_Clark02, JoshBogorad, Razor5Hole, Ali_StarsGrl91, SaadYousuf126, adamrosenfield, KenGardner11, SomeGuatemalan, taylordbaird, StarsNationDAL, deephearthockey, kenneth_nash19, colelikeshockey, GHardingWGBB, ZWal93, MDeFranks, ScottBellDMN, AngelAmyRF, DefendingBigD, comealongphil, StarsAsylum, doomocrat, ZWal93, tweetgrubes, dnadders, PunkRockPearl1, DalSportsGal, holly_holl, hintzenthusiast, lindseybwashere, Circuitouslife, RedNinjaSlice, klpratt1973, Matthew_N_Day, NathanGraviteh, thatgirlKacy12, nmoroch, PatrickHayslip, drivingrl, CourtLee_8, Kiki5851, brandonworley, josephruscitti, hintzkanen, strangesoups, itsbenngreat, JulieAnnDobbs, aleoconn, _meganharris, conceptress, colelikeshockey","dallas, stars, dal"
