game_choices,date,result,record,game_start,time_tv,date_label,leafs,venue,home_game,opp
"Boston vs. Dallas - Oct 3, 2019",2019-10-03,W 2-1,1-0-0,NA,NA,NA,NA,NA,NA,Dallas Stars
"Boston vs. Arizona - Oct 5, 2019",2019-10-05,W 1-0,2-0-0,NA,NA,NA,NA,NA,NA,Arizona Coyotes
"Boston vs. Vegas - Oct 8, 2019",2019-10-08,W 4-3,3-0-0,NA,NA,NA,NA,NA,NA,Vegas Golden Knights
"Boston vs. Colorado - Oct 10, 2019",2019-10-10,L 4-2,3-1-0,NA,NA,NA,NA,NA,NA,Colorado Avalanche
"Boston vs. New Jersey - Oct 12, 2019",2019-10-12,W 3-0,4-1-0,NA,NA,NA,NA,NA,NA,New Jersey Devils
"Boston vs. New Jersey - Oct 12, 2019",2019-10-12,W 3-0,4-1-0,NA,NA,NA,NA,NA,NA,New York Islanders
"Boston vs. New Jersey - Oct 12, 2019",2019-10-12,W 3-0,4-1-0,NA,NA,NA,NA,NA,NA,New York Rangers
"Boston vs. Anaheim - Oct 14, 2019",2019-10-14,W 4-2,5-1-0,NA,NA,NA,NA,NA,NA,Anaheim Ducks
"Boston vs. Tampa Bay - Oct 17, 2019",2019-10-17,L 4-3 / SO,5-1-1,NA,NA,NA,NA,NA,NA,Tampa Bay Lightning
"Boston vs. Toronto - Oct 19, 2019",2019-10-19,L 4-3 / OT,5-1-2,NA,NA,NA,NA,NA,NA,Toronto Maple Leafs
"Boston vs. Toronto - Oct 22, 2019",2019-10-22,W 4-2,6-1-2,NA,NA,NA,NA,NA,NA,Toronto Maple Leafs
"Boston vs. St. Louis - Oct 26, 2019",2019-10-26,W 3-0,7-1-2,NA,NA,NA,NA,NA,NA,St. Louis Blues
"Boston vs. San Jose - Oct 29, 2019",2019-10-29,W 5-1,9-1-2,NA,NA,NA,NA,NA,NA,San Jose Sharks
"Boston vs. Ottawa - Nov 2, 2019",2019-11-02,W 5-2,10-1-2,NA,NA,NA,NA,NA,NA,Ottawa Senators
"Boston vs. Pittsburgh - Nov 4, 2019",2019-11-04,W 6-4,11-1-2,NA,NA,NA,NA,NA,NA,Pittsburgh Penguins
"Boston vs. Montreal - Nov 5, 2019",2019-11-05,L 5-4,11-2-2,NA,NA,NA,NA,NA,NA,Montreal Canadiens
"Boston vs. Detroit - Nov 8, 2019",2019-11-08,L 4-2,11-3-2,NA,NA,NA,NA,NA,NA,Detroit Red Wings
"Boston vs. Philadelphia - Nov 10, 2019",2019-11-10,L 3-2 / SO,11-3-3,NA,NA,NA,NA,NA,NA,Philadelphia Flyers
"Boston vs. Florida - Nov 12, 2019",2019-11-12,L 5-4 / SO,11-3-4,NA,NA,NA,NA,NA,NA,Florida Panthers
"Boston vs. Toronto - Nov 15, 2019",2019-11-15,W 4-2,12-3-4,NA,NA,NA,NA,NA,NA,Toronto Maple Leafs
"Boston vs. Washington - Nov 16, 2019",2019-11-16,L 3-2 / SO,12-3-5,NA,NA,NA,NA,NA,NA,Washington Capitals
"Boston vs. New Jersey - Nov 19, 2019",2019-11-19,W 5-1,13-3-5,NA,NA,NA,NA,NA,NA,New Jersey Devils
"Boston vs. New Jersey - Nov 19, 2019",2019-11-19,W 5-1,13-3-5,NA,NA,NA,NA,NA,NA,New York Islanders
"Boston vs. New Jersey - Nov 19, 2019",2019-11-19,W 5-1,13-3-5,NA,NA,NA,NA,NA,NA,New York Rangers
"Boston vs. Buffalo - Nov 21, 2019",2019-11-21,W 3-2,14-3-5,NA,NA,NA,NA,NA,NA,Buffalo Sabres
"Boston vs. Minnesota - Nov 23, 2019",2019-11-23,W 5-4 / OT,15-3-5,NA,NA,NA,NA,NA,NA,Minnesota Wild
"Boston vs. Montreal - Nov 26, 2019",2019-11-26,W 8-1,16-3-5,NA,NA,NA,NA,NA,NA,Montreal Canadiens
"Boston vs. Ottawa - Nov 27, 2019",2019-11-27,W 2-1,17-3-5,NA,NA,NA,NA,NA,NA,Ottawa Senators
"Boston vs. Montreal - Dec 1, 2019",2019-12-01,W 3-1,19-3-5,NA,NA,NA,NA,NA,NA,Montreal Canadiens
"Boston vs. Carolina - Dec 3, 2019",2019-12-03,W 2-0,20-3-5,NA,NA,NA,NA,NA,NA,Carolina Hurricanes
"Boston vs. Chicago - Dec 5, 2019",2019-12-05,L 4-3 / OT,20-3-6,NA,NA,NA,NA,NA,NA,Chicago Blackhawks
"Boston vs. Colorado - Dec 7, 2019",2019-12-07,L 4-1,20-4-6,NA,NA,NA,NA,NA,NA,Colorado Avalanche
"Boston vs. Ottawa - Dec 9, 2019",2019-12-09,L 5-2,20-5-6,NA,NA,NA,NA,NA,NA,Ottawa Senators
"Boston vs. Washington - Dec 11, 2019",2019-12-11,L 3-2,20-6-6,NA,NA,NA,NA,NA,NA,Washington Capitals
"Boston vs. Tampa Bay - Dec 12, 2019",2019-12-12,L 3-2,20-7-6,NA,NA,NA,NA,NA,NA,Tampa Bay Lightning
"Boston vs. Florida - Dec 14, 2019",2019-12-14,W 4-2,21-7-6,NA,NA,NA,NA,NA,NA,Florida Panthers
"Boston vs. Los Angeles - Dec 17, 2019",2019-12-17,L 4-3 / OT,21-7-7,NA,NA,NA,NA,NA,NA,Los Angeles Kings
"Boston vs. Nashville - Dec 21, 2019",2019-12-21,L 4-3 / OT,21-7-9,NA,NA,NA,NA,NA,NA,Nashville Predators
"Boston vs. Washington - Dec 23, 2019",2019-12-23,W 7-3,22-7-9,NA,NA,NA,NA,NA,NA,Washington Capitals
"Boston vs. Buffalo - Dec 27, 2019",2019-12-27,W 3-0,23-7-9,NA,NA,NA,NA,NA,NA,Buffalo Sabres
"Toronto vs. Minnesota - Dec 31, 2019",2019-12-31,NA,NA,2019-12-31T18:00:00Z,18:00:00,"Dec 31, 2019",Toronto,Xcel Energy Center,FALSE,Minnesota Wild
"Toronto vs. Winnipeg - Jan 2, 2020",2020-01-02,NA,NA,2020-01-02T20:00:00Z,20:00:00,"Jan 2, 2020",Toronto,Bell MTS Place,FALSE,Winnipeg Jets
"Toronto vs. Edmonton - Jan 6, 2020",2020-01-06,NA,NA,2020-01-06T19:00:00Z,19:00:00,"Jan 6, 2020",Toronto,Scotiabank Arena,FALSE,Edmonton Oilers
"Toronto vs. Winnipeg - Jan 8, 2020",2020-01-08,NA,NA,2020-01-08T19:30:00Z,19:30:00,"Jan 8, 2020",Toronto,Scotiabank Arena,FALSE,Winnipeg Jets
"Toronto vs. Florida - Jan 12, 2020",2020-01-12,NA,NA,2020-01-12T19:00:00Z,19:00:00,"Jan 12, 2020",Toronto,BB&T Center,FALSE,Florida Panthers
"Toronto vs. New Jersey - Jan 14, 2020",2020-01-14,NA,NA,2020-01-14T19:00:00Z,19:00:00,"Jan 14, 2020",Toronto,Scotiabank Arena,FALSE,New Jersey Devils
"Toronto vs. New Jersey - Jan 14, 2020",2020-01-14,NA,NA,2020-01-14T19:00:00Z,19:00:00,"Jan 14, 2020",Toronto,Scotiabank Arena,FALSE,New York Islanders
"Toronto vs. New Jersey - Jan 14, 2020",2020-01-14,NA,NA,2020-01-14T19:00:00Z,19:00:00,"Jan 14, 2020",Toronto,Scotiabank Arena,FALSE,New York Rangers
"Toronto vs. Calgary - Jan 16, 2020",2020-01-16,NA,NA,2020-01-16T19:00:00Z,19:00:00,"Jan 16, 2020",Toronto,Scotiabank Arena,FALSE,Calgary Flames
"Toronto vs. Chicago - Jan 18, 2020",2020-01-18,NA,NA,2020-01-18T19:00:00Z,19:00:00,"Jan 18, 2020",Toronto,Scotiabank Arena,FALSE,Chicago Blackhawks
"Toronto vs. Nashville - Jan 27, 2020",2020-01-27,NA,NA,2020-01-27T20:00:00Z,20:00:00,"Jan 27, 2020",Toronto,Bridgestone Arena,FALSE,Nashville Predators
"Toronto vs. Dallas - Jan 29, 2020",2020-01-29,NA,NA,2020-01-29T19:30:00Z,19:30:00,"Jan 29, 2020",Toronto,American Airlines Center,FALSE,Dallas Stars
"Toronto vs. Ottawa - Feb 1, 2020",2020-02-01,NA,NA,2020-02-01T19:00:00Z,19:00:00,"Feb 1, 2020",Toronto,Scotiabank Arena,FALSE,Ottawa Senators
"Toronto vs. Florida - Feb 3, 2020",2020-02-03,NA,NA,2020-02-03T19:00:00Z,19:00:00,"Feb 3, 2020",Toronto,Scotiabank Arena,FALSE,Florida Panthers
"Toronto vs. Anaheim - Feb 7, 2020",2020-02-07,NA,NA,2020-02-07T19:00:00Z,19:00:00,"Feb 7, 2020",Toronto,Scotiabank Arena,FALSE,Anaheim Ducks
"Toronto vs. Montreal - Feb 8, 2020",2020-02-08,NA,NA,2020-02-08T19:00:00Z,19:00:00,"Feb 8, 2020",Toronto,Bell Centre,FALSE,Montreal Canadiens
"Toronto vs. Arizona - Feb 11, 2020",2020-02-11,NA,NA,2020-02-11T19:00:00Z,19:00:00,"Feb 11, 2020",Toronto,Scotiabank Arena,FALSE,Arizona Coyotes
"Toronto vs. Dallas - Feb 13, 2020",2020-02-13,NA,NA,2020-02-13T19:00:00Z,19:00:00,"Feb 13, 2020",Toronto,Scotiabank Arena,FALSE,Dallas Stars
"Toronto vs. Ottawa - Feb 15, 2020",2020-02-15,NA,NA,2020-02-15T19:00:00Z,19:00:00,"Feb 15, 2020",Toronto,Canadian Tire Centre,FALSE,Ottawa Senators
"Toronto vs. Buffalo - Feb 16, 2020",2020-02-16,NA,NA,2020-02-16T19:00:00Z,19:00:00,"Feb 16, 2020",Toronto,KeyBank Center,FALSE,Buffalo Sabres
"Toronto vs. Pittsburgh - Feb 18, 2020",2020-02-18,NA,NA,2020-02-18T19:00:00Z,19:00:00,"Feb 18, 2020",Toronto,PPG Paints Arena,FALSE,Pittsburgh Penguins
"Toronto vs. Pittsburgh - Feb 20, 2020",2020-02-20,NA,NA,2020-02-20T19:00:00Z,19:00:00,"Feb 20, 2020",Toronto,Scotiabank Arena,FALSE,Pittsburgh Penguins
"Toronto vs. Carolina - Feb 22, 2020",2020-02-22,NA,NA,2020-02-22T19:00:00Z,19:00:00,"Feb 22, 2020",Toronto,Scotiabank Arena,FALSE,Carolina Hurricanes
"Toronto vs. Tampa Bay - Feb 25, 2020",2020-02-25,NA,NA,2020-02-25T19:00:00Z,19:00:00,"Feb 25, 2020",Toronto,Amalie Arena,FALSE,Tampa Bay Lightning
